id_ies,nome_ies,organizacao_academica,sistema_de_ensino,categoria_administrativa,situacao_da_ies,UF_PROCESSO,UF_CADASTRO,municipio_processo,municipio_cadastro,uf,PUBLICA_PRIVADA,AMBITO_ADMINISTRATIVO
10328,FACULDADE DE TECNOLOGIA FOCUS - FOCUS,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,CE,,Fortaleza,,CE,PRIVADA,FEDERAL
10333,FACULDADE ABEU - ABEU,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,DF,,Brasília,,DF,PRIVADA,FEDERAL
1034,UNIAO DE ESCOLAS SUPERIORES DA FUNESO - UNESF,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,EXTINTA,PE,PE,Olinda,Olinda,PE,PRIVADA,FEDERAL
10342,FACULDADE INDEPENDENCIA - FAI,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,BA,,Feira de Santana,,BA,PRIVADA,FEDERAL
10349,FACULDADE DE TECNOLOGIA IPPEO - IPPEO,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,PR,PR,Curitiba,Curitiba,PR,PRIVADA,FEDERAL
1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS - UEMG,UNIVERSIDADE,ESTADUAL,PÚBLICA ESTADUAL,ATIVA,MG,MG,João Monlevade,João Monlevade,MG,PÚBLICA,ESTADUAL
10360,FACULDADE LITORAL NORTE - FANORTE,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SP,,Bertioga,,SP,PRIVADA,FEDERAL
10361,,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,ES,,Ibiraçu,,ES,PRIVADA,FEDERAL
10363,FACULDADE EVANGELICA DE PALMAS - TO - FAEP,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,TO,,Palmas,,TO,PRIVADA,FEDERAL
1038,FACULDADES INTEGRADAS DE TRES LAGOAS - AEMS,FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,MS,MS,Três Lagoas,Três Lagoas,MS,PRIVADA,FEDERAL
10385,INSTITUTO SAO PAULO DE ESTUDOS SUPERIORES - ITESP,INSTITUTO SUPERIOR OU ESCOLA SUPERIOR,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,SP,SP,São Paulo,São Paulo,SP,PRIVADA,FEDERAL
10389,INSTITUTO SUPERIOR DE EDUCACAO DE IGUAPE - ISE DE IGUAPE,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,SP,,Iguape,,SP,PRIVADA,FEDERAL
10402,FACULDADE PICARETA - FAPIC,FACULDADE,FEDERAL,,,DF,,Brasília,,DF,PRIVADA,FEDERAL
10407,FACULDADE JUJUBA - FACJUBA,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,GO,,Catalão,,GO,PRIVADA,FEDERAL
1041,UNIVERSIDADE DO VALE DO TAQUARI - UNIVATES,UNIVERSIDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,RS,RS,Lajeado,Lajeado,RS,PRIVADA,FEDERAL
10418,FACULDADE DE SANTA RITA DO PASSA QUATRO -,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,EXTINTA,SP,SP,Santa Rita do Passa Quatro,Santa Rita do Passa Quatro,SP,PRIVADA,FEDERAL
1042,UNIVERSIDADE POSITIVO - UP,UNIVERSIDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,PR,PR,Curitiba,Curitiba,PR,PRIVADA,FEDERAL
10423,FACULDADE DE TECNOLOGIA FOCUS - I - FOCUS I,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,CE,,Fortaleza,,CE,PRIVADA,FEDERAL
10424,"FACULDADE DE EDUCACAO FISICA, DESPORTOS E LAZER COM INTEGRACAO DE PESSOAS PORTADORAS DE DEFICIENCIA - FEFIPD",FACULDADE,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,RJ,,Niterói,,RJ,PRIVADA,FEDERAL
1043,CENTRO UNIVERSITARIO DA FUNDACAO HERMINIO OMETTO - FHO,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,ATIVA,SP,SP,Araras,Araras,SP,PRIVADA,FEDERAL
10438,FACULDADE METROPOLITANA UNIVERSO DE BELEM - FMU BELEM,FACULDADE,FEDERAL,PRIVADA COM FINS LUCRATIVOS,,PA,,Belém,,PA,PRIVADA,FEDERAL
10439,INSTITUTO SUPERIOR DE PESQUISA E ESTUDOS DOS TRABALHADORES - IPET,INSTITUTO SUPERIOR OU ESCOLA SUPERIOR,FEDERAL,PRIVADA SEM FINS LUCRATIVOS,,SC,,Florianópolis,,SC,PRIVADA,FEDERAL
1045,CENTRO UNIVERSITARIO ANHANGUERA - UNIFIAN,CENTRO UNIVERSITÁRIO,FEDERAL,PRIVADA COM FINS LUCRATIVOS,ATIVA,SP,SP,Leme,Leme,SP,PRIVADA,FEDERAL
